Time,Voltage,Current,Power,State
75.0,0.87,62.09,6,DRY_RUN
77.0,0.91,31.97,30,DRY_RUN
78.0,0.88,41.43,62,DRY_RUN
79.0,0.81,46.7,6,DRY_RUN
80.0,0.9,44.64,102,DRY_RUN
81.0,0.9,48.69,26,DRY_RUN
82.0,0.79,51.04,22,DRY_RUN
83.0,0.85,43.83,4,DRY_RUN
84.0,0.91,31.53,36,DRY_RUN
85.0,0.89,38.53,42,DRY_RUN
86.0,0.75,56.29,6,DRY_RUN
87.0,0.88,50.81,66,DRY_RUN
88.0,0.88,25.74,40,DRY_RUN
89.0,0.88,41.59,62,DRY_RUN
90.0,0.89,46.13,10,DRY_RUN
91.0,0.88,44.24,92,DRY_RUN
92.0,0.88,40.89,50,DRY_RUN
93.0,0.88,35.01,16,DRY_RUN
95.0,0.88,43.23,88,DRY_RUN
96.0,0.88,28.44,16,DRY_RUN
97.0,0.88,48.39,66,DRY_RUN
98.0,0.88,45.63,4,DRY_RUN
99.0,0.88,39.0,62,DRY_RUN
100.0,0.89,30.6,6,DRY_RUN
101.0,0.88,30.45,32,DRY_RUN
102.0,0.88,49.0,56,DRY_RUN
103.0,0.88,25.44,62,DRY_RUN
104.0,0.88,40.1,72,DRY_RUN
105.0,0.88,42.57,10,DRY_RUN
106.0,0.87,37.36,92,DRY_RUN
107.0,0.89,40.99,50,DRY_RUN
108.0,0.88,35.09,16,DRY_RUN
109.0,0.88,42.89,88,DRY_RUN
110.0,0.88,32.67,26,DRY_RUN
112.0,0.88,50.48,56,DRY_RUN
113.0,0.88,42.43,6,DRY_RUN
114.0,0.88,33.47,42,DRY_RUN
115.0,0.88,38.71,42,DRY_RUN
116.0,0.88,46.53,10,DRY_RUN
117.0,0.88,50.39,62,DRY_RUN
118.0,0.88,25.64,46,DRY_RUN
119.0,0.88,41.01,66,DRY_RUN
120.0,0.88,46.45,10,DRY_RUN
121.0,0.88,44.05,88,DRY_RUN
122.0,0.88,39.05,68,DRY_RUN
123.0,0.88,38.67,6,DRY_RUN
124.0,0.88,43.73,96,DRY_RUN
125.0,0.88,45.81,20,DRY_RUN
126.0,0.88,49.44,22,DRY_RUN
127.0,0.88,45.03,0,DRY_RUN
128.0,0.87,37.67,22,DRY_RUN
130.0,0.88,52.74,50,DRY_RUN
131.0,0.89,47.46,6,DRY_RUN
132.0,0.88,30.95,14,DRY_RUN
133.0,0.88,50.91,68,DRY_RUN
134.0,0.88,41.83,6,DRY_RUN
135.0,0.88,38.1,30,DRY_RUN
136.0,0.88,40.17,76,DRY_RUN
137.0,0.88,53.69,4,DRY_RUN
138.0,0.88,35.36,14,DRY_RUN
139.0,0.88,34.69,46,DRY_RUN
140.0,0.87,42.99,0,DRY_RUN
141.0,0.88,36.55,10,DRY_RUN
142.0,0.88,19.44,92,DRY_RUN
143.0,0.88,44.01,4,DRY_RUN
144.0,0.89,25.29,4,DRY_RUN
145.0,0.88,30.53,92,DRY_RUN
147.0,0.88,36.43,4,DRY_RUN
148.0,0.88,33.7,0,DRY_RUN
149.0,0.88,32.27,88,DRY_RUN
150.0,0.88,38.05,6,DRY_RUN
151.0,0.88,33.63,0,DRY_RUN
152.0,0.88,37.02,88,DRY_RUN
153.0,0.88,34.43,4,DRY_RUN
154.0,0.88,31.71,30,DRY_RUN
155.0,0.88,43.86,86,DRY_RUN
156.0,0.87,29.86,0,DRY_RUN
157.0,0.88,47.11,68,DRY_RUN
158.0,0.88,43.88,6,DRY_RUN
159.0,0.88,31.53,52,DRY_RUN
160.0,0.88,36.09,32,DRY_RUN
161.0,0.88,48.44,10,DRY_RUN
162.0,0.88,45.82,66,DRY_RUN
164.0,0.88,29.99,4,DRY_RUN
165.0,0.88,45.31,30,DRY_RUN
166.0,0.88,55.51,10,DRY_RUN
167.0,0.88,36.3,52,DRY_RUN
168.0,0.88,41.37,62,DRY_RUN
169.0,0.88,49.03,10,DRY_RUN
170.0,0.88,43.6,82,DRY_RUN
171.0,0.88,44.21,82,DRY_RUN
172.0,0.88,43.21,10,DRY_RUN
173.0,0.88,46.0,50,DRY_RUN
174.0,0.88,34.28,66,DRY_RUN
175.0,0.88,47.38,14,DRY_RUN
176.0,0.88,52.35,58,DRY_RUN
177.0,0.88,30.55,26,DRY_RUN
178.0,0.88,36.46,10,DRY_RUN
179.0,0.88,41.42,76,DRY_RUN
180.0,0.88,34.14,10,DRY_RUN
182.0,0.88,35.41,6,DRY_RUN
183.0,0.88,41.77,86,DRY_RUN
184.0,0.88,31.95,20,DRY_RUN
185.0,0.88,31.84,36,DRY_RUN
186.0,0.88,43.16,88,DRY_RUN
187.0,0.88,36.69,4,DRY_RUN
188.0,0.88,48.71,20,DRY_RUN
189.0,0.89,39.21,6,DRY_RUN
190.0,0.88,52.18,22,DRY_RUN
191.0,0.88,47.9,14,DRY_RUN
192.0,0.88,47.23,10,DRY_RUN
193.0,0.88,46.32,30,DRY_RUN
194.0,0.88,56.52,14,DRY_RUN
195.0,0.88,30.06,10,DRY_RUN
196.0,0.88,47.51,62,DRY_RUN
197.0,0.88,41.83,4,DRY_RUN
199.0,0.88,30.78,20,DRY_RUN
200.0,0.88,37.42,66,DRY_RUN
201.0,0.88,38.4,6,DRY_RUN
202.0,0.88,36.1,32,DRY_RUN
203.0,0.87,29.21,62,DRY_RUN
204.0,0.88,37.42,30,DRY_RUN
205.0,0.88,43.16,40,DRY_RUN
206.0,0.88,30.59,56,DRY_RUN
207.0,0.89,40.28,52,DRY_RUN
208.0,0.88,47.93,4,DRY_RUN
209.0,0.88,32.92,40,DRY_RUN
210.0,0.89,45.81,76,DRY_RUN
211.0,0.88,49.58,6,DRY_RUN
212.0,0.88,31.29,6,DRY_RUN
213.0,0.87,55.61,50,DRY_RUN
214.0,0.88,32.06,4,DRY_RUN
215.0,0.88,39.76,52,DRY_RUN
217.0,0.88,44.92,16,DRY_RUN
218.0,0.88,36.44,40,DRY_RUN
219.0,0.88,21.22,10,DRY_RUN
220.0,0.88,31.54,30,DRY_RUN
221.0,0.88,42.53,92,DRY_RUN
222.0,0.88,41.16,20,DRY_RUN
223.0,0.88,51.55,6,DRY_RUN
224.0,0.88,44.63,96,DRY_RUN
225.0,0.88,53.87,78,DRY_RUN
226.0,0.88,41.77,6,DRY_RUN
227.0,0.88,46.93,42,DRY_RUN
228.0,0.88,34.37,68,DRY_RUN
229.0,0.88,39.61,14,DRY_RUN
230.0,0.87,46.8,66,DRY_RUN
231.0,0.88,23.37,4,DRY_RUN
232.0,0.88,35.01,4,DRY_RUN
234.0,0.88,32.5,92,DRY_RUN
235.0,0.89,40.68,36,DRY_RUN
236.0,0.88,39.56,0,DRY_RUN
237.0,0.88,38.41,92,DRY_RUN
238.0,0.88,39.12,82,DRY_RUN
239.0,0.88,55.11,14,DRY_RUN
240.0,0.88,37.46,56,DRY_RUN
241.0,0.88,50.42,40,DRY_RUN
242.0,0.88,52.22,6,DRY_RUN
243.0,0.88,32.64,88,DRY_RUN
244.0,0.88,44.03,4,DRY_RUN
245.0,0.88,25.57,14,DRY_RUN
246.0,0.88,27.3,96,DRY_RUN
247.0,0.88,32.39,86,DRY_RUN
248.0,0.88,36.87,36,DRY_RUN
249.0,0.88,26.89,72,DRY_RUN
251.0,0.88,34.06,50,DRY_RUN
252.0,0.89,49.86,62,DRY_RUN
253.0,0.88,35.58,6,DRY_RUN
254.0,0.88,51.03,6,DRY_RUN
255.0,0.88,44.02,10,DRY_RUN
256.0,0.88,38.61,62,DRY_RUN
257.0,0.89,37.29,6,DRY_RUN
258.0,0.88,40.49,40,DRY_RUN
259.0,0.88,36.81,66,DRY_RUN
260.0,0.87,22.88,4,DRY_RUN
261.0,0.88,36.33,62,DRY_RUN
262.0,0.88,30.36,10,DRY_RUN
263.0,0.88,44.52,6,DRY_RUN
264.0,0.88,37.06,56,DRY_RUN
265.0,0.88,44.0,78,DRY_RUN
266.0,0.88,47.9,6,DRY_RUN
267.0,0.88,38.05,20,DRY_RUN
269.0,0.88,48.8,16,DRY_RUN
270.0,0.88,34.73,16,DRY_RUN
271.0,0.87,25.5,62,DRY_RUN
272.0,0.88,37.81,14,DRY_RUN
273.0,0.88,47.25,68,DRY_RUN
274.0,0.88,30.95,20,DRY_RUN
275.0,0.88,33.49,20,DRY_RUN
276.0,0.88,44.67,96,DRY_RUN
277.0,0.89,38.07,86,DRY_RUN
278.0,0.88,49.32,14,DRY_RUN
279.0,0.88,40.86,76,DRY_RUN
280.0,0.88,44.78,14,DRY_RUN
281.0,0.88,37.2,6,DRY_RUN
282.0,0.87,28.94,96,DRY_RUN
283.0,0.88,33.06,6,DRY_RUN
284.0,0.88,44.1,50,DRY_RUN
286.0,0.88,28.55,30,DRY_RUN
287.0,0.88,36.04,22,DRY_RUN
288.0,0.88,43.21,66,DRY_RUN
289.0,0.88,41.23,40,DRY_RUN
290.0,0.88,45.27,6,DRY_RUN
291.0,0.88,31.81,40,DRY_RUN
292.0,0.87,50.75,32,DRY_RUN
293.0,0.88,13.66,10,DRY_RUN
294.0,0.88,37.84,66,DRY_RUN
295.0,0.88,32.41,32,DRY_RUN
296.0,0.88,46.13,56,DRY_RUN
297.0,0.88,29.15,0,DRY_RUN
298.0,0.88,51.4,26,DRY_RUN
299.0,0.88,40.09,14,DRY_RUN
300.0,0.87,39.32,98,DRY_RUN
301.0,0.88,45.65,14,DRY_RUN
302.0,0.89,33.95,66,DRY_RUN
304.0,0.88,40.88,26,DRY_RUN
305.0,0.88,36.73,0,DRY_RUN
306.0,0.88,28.3,92,DRY_RUN
307.0,0.88,33.58,58,DRY_RUN
308.0,0.87,33.38,32,DRY_RUN
309.0,0.88,40.59,72,DRY_RUN
310.0,0.88,43.32,42,DRY_RUN
311.0,0.88,64.89,4,DRY_RUN
312.0,0.87,31.13,32,DRY_RUN
313.0,0.88,41.76,6,DRY_RUN
314.0,0.88,40.82,40,DRY_RUN
315.0,0.88,31.99,36,DRY_RUN
316.0,0.88,33.3,22,DRY_RUN
317.0,0.88,32.0,56,DRY_RUN
318.0,0.88,46.99,68,DRY_RUN
319.0,0.88,42.25,4,DRY_RUN
321.0,0.88,44.31,20,DRY_RUN
322.0,0.88,51.34,0,DRY_RUN
323.0,0.88,50.58,42,DRY_RUN
324.0,0.88,30.55,30,DRY_RUN
325.0,0.88,35.47,6,DRY_RUN
326.0,0.87,27.51,96,DRY_RUN
327.0,0.88,33.33,86,DRY_RUN
328.0,0.88,43.17,46,DRY_RUN
329.0,0.87,34.08,10,DRY_RUN
330.0,0.88,50.88,6,DRY_RUN
331.0,0.88,38.73,20,DRY_RUN
332.0,0.87,47.74,50,DRY_RUN
333.0,0.88,12.56,6,DRY_RUN
334.0,0.89,34.64,66,DRY_RUN
335.0,0.88,38.14,56,DRY_RUN
336.0,0.88,45.28,76,DRY_RUN
338.0,0.88,39.11,4,DRY_RUN
339.0,0.88,46.6,4,DRY_RUN
340.0,0.89,53.49,40,DRY_RUN
341.0,0.88,34.74,50,DRY_RUN
342.0,0.89,45.54,6,DRY_RUN
343.0,0.88,28.98,92,DRY_RUN
344.0,0.88,34.93,72,DRY_RUN
345.0,0.88,42.02,42,DRY_RUN
346.0,0.88,25.65,30,DRY_RUN
347.0,0.88,55.19,14,DRY_RUN
348.0,0.88,36.48,16,DRY_RUN
349.0,0.88,45.52,58,DRY_RUN
350.0,0.88,27.58,4,DRY_RUN
351.0,0.88,40.6,62,DRY_RUN
352.0,0.88,36.02,10,DRY_RUN
353.0,0.87,46.56,66,DRY_RUN
354.0,0.88,32.36,16,DRY_RUN
356.0,0.88,38.21,6,DRY_RUN
357.0,0.88,43.88,86,DRY_RUN
358.0,0.88,49.35,50,DRY_RUN
359.0,0.88,50.16,4,DRY_RUN
360.0,0.88,19.88,96,DRY_RUN
361.0,0.88,35.68,6,DRY_RUN
362.0,0.88,43.09,52,DRY_RUN
363.0,0.87,29.64,4,DRY_RUN
364.0,0.88,49.62,0,DRY_RUN
365.0,0.88,30.42,26,DRY_RUN
366.0,0.88,63.28,32,DRY_RUN
367.0,0.88,33.07,14,DRY_RUN
368.0,0.88,27.85,62,DRY_RUN
369.0,0.88,37.5,14,DRY_RUN
370.0,0.88,34.64,82,DRY_RUN
371.0,0.88,36.43,14,DRY_RUN
373.0,0.88,39.38,0,DRY_RUN
374.0,0.88,43.62,78,DRY_RUN
375.0,0.88,42.92,46,DRY_RUN
376.0,0.88,57.49,6,DRY_RUN
377.0,0.88,31.17,32,DRY_RUN
378.0,0.88,30.52,6,DRY_RUN
379.0,0.88,43.78,46,DRY_RUN
380.0,0.88,36.91,6,DRY_RUN
381.0,0.88,38.48,32,DRY_RUN
382.0,0.88,30.58,40,DRY_RUN
383.0,0.88,54.52,40,DRY_RUN
384.0,0.88,47.46,14,DRY_RUN
385.0,0.88,37.14,96,DRY_RUN
386.0,0.89,34.36,14,DRY_RUN
387.0,0.89,35.29,86,DRY_RUN
388.0,0.89,33.34,46,DRY_RUN
389.0,0.88,40.22,40,DRY_RUN
391.0,0.88,25.24,16,DRY_RUN
392.0,0.88,50.8,6,DRY_RUN
393.0,0.89,35.96,22,DRY_RUN
394.0,0.88,51.19,40,DRY_RUN
395.0,0.88,17.45,14,DRY_RUN
396.0,0.88,23.64,56,DRY_RUN
397.0,0.88,34.64,58,DRY_RUN
398.0,0.88,42.26,92,DRY_RUN
399.0,0.88,51.98,86,DRY_RUN
400.0,0.89,48.04,14,DRY_RUN
401.0,0.88,39.06,76,DRY_RUN
402.0,0.88,43.97,6,DRY_RUN
403.0,0.88,26.36,22,DRY_RUN
404.0,0.88,26.84,72,DRY_RUN
405.0,0.88,37.12,26,DRY_RUN
406.0,0.88,39.91,62,DRY_RUN
408.0,0.88,40.9,72,DRY_RUN
409.0,0.88,35.6,6,DRY_RUN
410.0,0.88,47.29,56,DRY_RUN
411.0,0.88,41.42,4,DRY_RUN
412.0,0.88,44.99,46,DRY_RUN
413.0,0.88,21.95,6,DRY_RUN
414.0,0.88,36.48,16,DRY_RUN
415.0,0.87,44.11,88,DRY_RUN
416.0,0.88,45.97,50,DRY_RUN
417.0,0.89,46.8,0,DRY_RUN
418.0,0.88,37.96,96,DRY_RUN
419.0,0.88,27.6,4,DRY_RUN
420.0,0.88,36.94,62,DRY_RUN
421.0,0.88,36.37,40,DRY_RUN
422.0,0.88,42.57,6,DRY_RUN
423.0,0.88,42.39,10,DRY_RUN
425.0,0.88,47.15,6,DRY_RUN
426.0,0.88,54.0,58,DRY_RUN
427.0,0.88,37.37,14,DRY_RUN
428.0,0.88,30.81,22,DRY_RUN
429.0,0.88,27.15,68,DRY_RUN
430.0,0.88,48.12,26,DRY_RUN
431.0,0.88,37.9,10,DRY_RUN
432.0,0.88,44.95,62,DRY_RUN
433.0,0.89,22.04,6,DRY_RUN
434.0,0.88,34.55,66,DRY_RUN
435.0,0.88,29.66,68,DRY_RUN
436.0,0.88,44.04,82,DRY_RUN
437.0,0.88,44.02,40,DRY_RUN
438.0,0.88,42.57,10,DRY_RUN
439.0,0.86,47.08,0,DRY_RUN
440.0,0.87,34.2,30,DRY_RUN
441.0,0.88,53.49,14,DRY_RUN
443.0,0.88,47.62,10,DRY_RUN
444.0,0.88,52.96,50,DRY_RUN
445.0,0.87,35.59,58,DRY_RUN
446.0,0.88,40.32,6,DRY_RUN
447.0,0.88,47.09,32,DRY_RUN
448.0,0.88,37.1,88,DRY_RUN
449.0,0.88,42.7,10,DRY_RUN
450.0,0.89,40.0,6,DRY_RUN
451.0,0.88,42.17,56,DRY_RUN
452.0,0.88,32.73,30,DRY_RUN
453.0,0.88,28.39,6,DRY_RUN
454.0,0.88,39.92,42,DRY_RUN
455.0,0.88,25.61,88,DRY_RUN
456.0,0.88,31.99,6,DRY_RUN
457.0,0.88,38.93,6,DRY_RUN
458.0,0.89,34.79,52,DRY_RUN
460.0,0.88,20.43,42,DRY_RUN
461.0,0.88,25.21,72,DRY_RUN
462.0,0.88,41.04,32,DRY_RUN
463.0,0.88,32.54,88,DRY_RUN
464.0,0.88,33.77,20,DRY_RUN
465.0,0.88,32.42,50,DRY_RUN
466.0,0.88,44.66,50,DRY_RUN
467.0,0.88,25.88,50,DRY_RUN
468.0,0.89,37.07,46,DRY_RUN
469.0,0.88,47.57,16,DRY_RUN
470.0,0.87,44.7,82,DRY_RUN
471.0,0.88,28.93,52,DRY_RUN
472.0,0.88,49.94,66,DRY_RUN
473.0,0.88,45.92,10,DRY_RUN
474.0,0.88,31.72,52,DRY_RUN
475.0,0.88,40.17,46,DRY_RUN
477.0,0.88,49.37,14,DRY_RUN
478.0,0.88,42.56,4,DRY_RUN
479.0,0.88,31.53,42,DRY_RUN
480.0,0.88,54.12,62,DRY_RUN
481.0,0.89,44.99,10,DRY_RUN
482.0,0.89,33.47,20,DRY_RUN
483.0,0.88,38.87,72,DRY_RUN
484.0,0.88,57.21,6,DRY_RUN
485.0,0.88,37.36,4,DRY_RUN
486.0,0.89,41.93,76,DRY_RUN
487.0,0.88,44.84,52,DRY_RUN
488.0,0.88,44.48,10,DRY_RUN
489.0,0.88,40.79,20,DRY_RUN
490.0,0.88,38.35,68,DRY_RUN
491.0,0.87,46.04,0,DRY_RUN
492.0,0.88,37.32,16,DRY_RUN
493.0,0.88,30.11,88,DRY_RUN
495.0,0.87,34.48,30,DRY_RUN
496.0,0.88,31.53,10,DRY_RUN
497.0,0.88,29.89,40,DRY_RUN
498.0,0.88,17.8,62,DRY_RUN
499.0,0.88,32.71,58,DRY_RUN
500.0,0.88,40.92,26,DRY_RUN
501.0,0.88,32.87,98,DRY_RUN
502.0,0.88,33.65,6,DRY_RUN
503.0,0.88,38.0,22,DRY_RUN
504.0,0.88,49.03,58,DRY_RUN
505.0,0.88,40.42,10,DRY_RUN
506.0,0.88,45.27,52,DRY_RUN
507.0,0.88,43.7,6,DRY_RUN
508.0,0.88,37.46,82,DRY_RUN
509.0,0.88,41.27,62,DRY_RUN
510.0,0.88,42.49,4,DRY_RUN
512.0,0.89,43.85,6,DRY_RUN
513.0,0.88,44.45,40,DRY_RUN
514.0,0.88,59.02,10,DRY_RUN
515.0,0.89,38.01,4,DRY_RUN
516.0,0.88,37.48,82,DRY_RUN
517.0,0.87,43.15,32,DRY_RUN
518.0,0.88,33.46,10,DRY_RUN
519.0,0.88,38.95,42,DRY_RUN
520.0,0.88,22.01,46,DRY_RUN
521.0,0.87,26.97,6,DRY_RUN
522.0,0.88,44.99,50,DRY_RUN
523.0,0.88,22.41,92,DRY_RUN
524.0,0.87,32.9,52,DRY_RUN
525.0,0.88,35.14,30,DRY_RUN
526.0,0.88,29.24,58,DRY_RUN
527.0,0.88,36.92,46,DRY_RUN
528.0,0.88,57.68,6,DRY_RUN
530.0,0.88,44.39,92,DRY_RUN
531.0,0.88,41.72,16,DRY_RUN
532.0,0.88,43.05,6,DRY_RUN
533.0,0.89,48.98,0,DRY_RUN
534.0,0.88,41.69,22,DRY_RUN
535.0,0.88,44.48,20,DRY_RUN
536.0,0.89,35.81,4,DRY_RUN
537.0,0.89,27.16,76,DRY_RUN
538.0,0.88,45.68,22,DRY_RUN
539.0,0.87,37.57,10,DRY_RUN
540.0,0.88,40.88,58,DRY_RUN
541.0,0.89,36.43,16,DRY_RUN
542.0,0.88,29.04,0,DRY_RUN
543.0,0.88,37.85,82,DRY_RUN
544.0,0.88,31.2,40,DRY_RUN
545.0,0.88,45.07,52,DRY_RUN
547.0,0.88,53.91,14,DRY_RUN
548.0,0.88,38.01,22,DRY_RUN
549.0,0.88,43.27,68,DRY_RUN
550.0,0.88,37.03,6,DRY_RUN
551.0,0.88,42.06,42,DRY_RUN
552.0,0.87,41.18,76,DRY_RUN
553.0,0.88,44.65,10,DRY_RUN
554.0,0.88,39.5,26,DRY_RUN
555.0,0.88,23.43,66,DRY_RUN
556.0,0.88,35.25,6,DRY_RUN
557.0,0.88,44.26,40,DRY_RUN
558.0,0.88,23.13,96,DRY_RUN
559.0,0.88,33.2,50,DRY_RUN
560.0,0.88,37.62,36,DRY_RUN
561.0,0.88,25.59,52,DRY_RUN
562.0,0.88,39.22,82,DRY_RUN
564.0,0.88,58.24,4,DRY_RUN
565.0,0.88,43.61,86,DRY_RUN
566.0,0.88,47.51,42,DRY_RUN
567.0,0.87,44.28,6,DRY_RUN
568.0,0.88,32.89,16,DRY_RUN
569.0,0.88,35.68,96,DRY_RUN
570.0,0.88,33.62,4,DRY_RUN
571.0,0.88,47.07,30,DRY_RUN
572.0,0.88,28.02,88,DRY_RUN
573.0,0.88,27.48,32,DRY_RUN
574.0,0.88,37.27,26,DRY_RUN
575.0,0.88,17.83,62,DRY_RUN
576.0,0.88,39.95,98,DRY_RUN
577.0,0.88,42.12,6,DRY_RUN
578.0,0.88,37.21,82,DRY_RUN
579.0,0.88,49.85,72,DRY_RUN
580.0,0.88,45.56,10,DRY_RUN
582.0,0.88,40.56,36,DRY_RUN
583.0,0.87,35.29,52,DRY_RUN
584.0,0.88,18.47,6,DRY_RUN
585.0,0.88,42.77,62,DRY_RUN
586.0,0.89,38.6,76,DRY_RUN
587.0,0.88,33.14,10,DRY_RUN
588.0,0.89,40.93,58,DRY_RUN
589.0,0.88,33.85,16,DRY_RUN
590.0,0.88,33.8,40,DRY_RUN
591.0,0.88,42.62,86,DRY_RUN
592.0,0.88,37.59,4,DRY_RUN
593.0,0.88,46.53,26,DRY_RUN
594.0,0.89,51.96,10,DRY_RUN
595.0,0.88,56.18,62,DRY_RUN
596.0,0.88,45.2,20,DRY_RUN
597.0,0.88,30.63,0,DRY_RUN
599.0,0.88,33.52,82,DRY_RUN
600.0,0.88,29.23,26,DRY_RUN
601.0,0.87,34.6,4,DRY_RUN
602.0,0.88,35.74,58,DRY_RUN
603.0,0.89,40.92,14,DRY_RUN
604.0,0.88,43.04,30,DRY_RUN
605.0,0.89,44.51,86,DRY_RUN
606.0,0.88,39.47,4,DRY_RUN
607.0,0.88,44.18,16,DRY_RUN
608.0,0.88,36.01,4,DRY_RUN
609.0,0.88,43.51,62,DRY_RUN
610.0,0.88,42.23,4,DRY_RUN
611.0,0.88,39.47,36,DRY_RUN
612.0,0.88,23.52,86,DRY_RUN
613.0,0.89,33.84,56,DRY_RUN
614.0,0.88,44.83,40,DRY_RUN
615.0,0.88,29.48,30,DRY_RUN
617.0,0.88,44.95,52,DRY_RUN
618.0,0.88,49.93,6,DRY_RUN
619.0,0.88,32.04,16,DRY_RUN
620.0,0.88,45.01,26,DRY_RUN
621.0,0.88,41.44,4,DRY_RUN
622.0,0.88,36.17,58,DRY_RUN
623.0,0.89,34.65,10,DRY_RUN
624.0,0.88,41.43,26,DRY_RUN
625.0,0.88,33.65,88,DRY_RUN
626.0,0.88,40.57,26,DRY_RUN
627.0,0.88,50.75,6,DRY_RUN
628.0,0.88,33.89,50,DRY_RUN
629.0,0.88,44.16,66,DRY_RUN
630.0,0.88,32.86,6,DRY_RUN
631.0,0.88,30.98,66,DRY_RUN
632.0,0.88,35.59,56,DRY_RUN
634.0,0.88,32.37,6,DRY_RUN
635.0,0.88,33.76,56,DRY_RUN
636.0,0.88,40.28,16,DRY_RUN
637.0,0.88,47.85,20,DRY_RUN
638.0,0.88,44.57,92,DRY_RUN
639.0,0.88,45.1,26,DRY_RUN
640.0,0.88,41.8,0,DRY_RUN
641.0,0.89,24.1,16,DRY_RUN
642.0,0.88,33.81,98,DRY_RUN
643.0,0.88,33.65,6,DRY_RUN
644.0,0.88,36.67,52,DRY_RUN
645.0,0.88,22.02,72,DRY_RUN
646.0,0.88,31.67,72,DRY_RUN
647.0,0.88,51.09,50,DRY_RUN
648.0,0.88,36.83,4,DRY_RUN
649.0,0.88,47.39,36,DRY_RUN
651.0,0.88,49.12,0,DRY_RUN
652.0,0.88,32.92,6,DRY_RUN
653.0,0.87,38.82,10,DRY_RUN
654.0,0.86,38.79,6,DRY_RUN
655.0,0.86,27.08,62,DRY_RUN
656.0,0.87,34.56,50,DRY_RUN
657.0,0.88,39.39,46,DRY_RUN
658.0,0.87,31.13,78,DRY_RUN
659.0,0.87,50.41,76,DRY_RUN
660.0,0.88,60.14,14,DRY_RUN
661.0,0.88,40.66,4,DRY_RUN
662.0,0.88,46.56,36,DRY_RUN
663.0,0.89,34.92,0,DRY_RUN
664.0,0.88,30.64,86,DRY_RUN
665.0,0.89,32.2,6,DRY_RUN
666.0,0.88,33.92,4,DRY_RUN
667.0,0.88,32.8,62,DRY_RUN
669.0,0.88,37.94,36,DRY_RUN
670.0,0.89,58.03,0,DRY_RUN
671.0,0.88,42.95,82,DRY_RUN
672.0,0.88,51.79,72,DRY_RUN
673.0,0.88,48.09,14,DRY_RUN
674.0,0.88,36.75,40,DRY_RUN
675.0,0.88,32.8,26,DRY_RUN
676.0,0.88,26.93,4,DRY_RUN
677.0,0.88,31.23,82,DRY_RUN
